Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R19,2.2k,R_01005_0402Metric,27.2078,-132.334,90.0,top
R2,2.2k,R_01005_0402Metric,82.5754,-176.7586,180.0,top
R20,2.2k,R_01005_0402Metric,79.3242,-132.4102,90.0,top
R21,2.2k,R_01005_0402Metric,62.0268,-133.4008,90.0,top
R22,2.2k,R_01005_0402Metric,45.339,-132.6896,90.0,top
R23,2.2k,R_01005_0402Metric,29.845,-132.4316,90.0,top
R24,2.2k,R_01005_0402Metric,82.7278,-132.3594,90.0,top
R25,2.2k,R_01005_0402Metric,65.5828,-133.4262,90.0,top
R26,2.2k,R_01005_0402Metric,48.4124,-132.588,90.0,top
R27,2.2k,R_01005_0402Metric,64.3382,-119.8118,180.0,top
R28,2.2k,R_01005_0402Metric,46.7614,-119.9856,90.0,top
R29,2.2k,R_01005_0402Metric,29.6672,-119.5876,90.0,top
R3,2.2k,R_01005_0402Metric,79.1,-156.8196,90.0,top
R30,2.2k,R_01005_0402Metric,81.1022,-114.7528,-90.0,top
R31,2.2k,R_01005_0402Metric,61.4724,-120.1928,0.0,top
R32,2.2k,R_01005_0402Metric,43.6412,-119.9134,90.0,top
R33,2.2k,R_01005_0402Metric,26.4414,-119.634,90.0,top
R34,2.2k,R_01005_0402Metric,77.8256,-114.6556,-90.0,top
R35,2.2k,R_01005_0402Metric,28.1178,-68.6094,-90.0,top
R36,2.2k,R_01005_0402Metric,78.4606,-68.2752,-90.0,top
R37,2.2k,R_01005_0402Metric,61.468,-68.6054,-90.0,top
R38,2.2k,R_01005_0402Metric,44.3484,-68.6054,-90.0,top
R39,2.2k,R_01005_0402Metric,31.9576,-69.1388,-90.0,top
R4,2.2k,R_01005_0402Metric,83.2612,-156.866,90.0,top
R40,2.2k,R_01005_0402Metric,82.0674,-68.6054,-90.0,top
R41,2.2k,R_01005_0402Metric,65.1764,-68.5546,-90.0,top
R42,2.2k,R_01005_0402Metric,47.8536,-68.576,-90.0,top
R43,2.2k,R_01005_0402Metric,61.3708,-60.325,0.0,top
R44,2.2k,R_01005_0402Metric,43.4384,-59.8678,0.0,top
R45,2.2k,R_01005_0402Metric,25.9842,-59.8678,0.0,top
R46,2.2k,R_01005_0402Metric,78.719,-60.2996,0.0,top
R47,2.2k,R_01005_0402Metric,61.447,-57.7088,0.0,top
R48,2.2k,R_01005_0402Metric,43.4638,-57.277,0.0,top
R49,2.2k,R_01005_0402Metric,25.8358,-57.1246,0.0,top
R5,2.2k,R_01005_0402Metric,61.2394,-156.6882,90.0,top
R50,2.2k,R_01005_0402Metric,78.9896,-57.9374,0.0,top
R51,2.2k,R_01005_0402Metric,26.8732,-51.1556,90.0,top
R52,2.2k,R_01005_0402Metric,75.0062,-51.583,90.0,top
R53,2.2k,R_01005_0402Metric,58.5216,-51.435,90.0,top
R54,2.2k,R_01005_0402Metric,42.7482,-51.3544,90.0,top
R55,2.2k,R_01005_0402Metric,30.48,-51.3588,90.0,top
R56,2.2k,R_01005_0402Metric,77.8764,-51.689,90.0,top
R57,2.2k,R_01005_0402Metric,61.5442,-51.3588,90.0,top
R58,2.2k,R_01005_0402Metric,46.3848,-51.5874,90.0,top
R59,2.2k,R_01005_0402Metric,58.42,-37.9476,0.0,top
R6,2.2k,R_01005_0402Metric,64.6938,-156.6628,90.0,top
R60,2.2k,R_01005_0402Metric,42.2954,-38.1254,0.0,top
R61,2.2k,R_01005_0402Metric,27.1566,-37.8206,0.0,top
R62,2.2k,R_01005_0402Metric,74.5998,-37.7698,0.0,top
R63,2.2k,R_01005_0402Metric,58.2212,-35.2298,0.0,top
R64,2.2k,R_01005_0402Metric,42.418,-35.2298,0.0,top
R65,2.2k,R_01005_0402Metric,27.1316,-35.687,0.0,top
R66,2.2k,R_01005_0402Metric,74.7014,-35.0774,0.0,top
R7,2.2k,R_01005_0402Metric,44.578,-156.2564,90.0,top
R8,2.2k,R_01005_0402Metric,46.228,-156.2564,90.0,top
R9,2.2k,R_01005_0402Metric,27.7124,-156.739,90.0,top
U1,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,73.406,-165.2778,90.0,top
U10,HSCDRRN400MD2A3,hscdrrn400md2a3,29.0274,-131.1148,180.0,bottom
U11,HSCDRRN400MD2A3,hscdrrn400md2a3,81.0906,-131.1148,180.0,bottom
U12,HSCDRRN400MD2A3,hscdrrn400md2a3,63.6516,-131.15575,180.0,bottom
U13,HSCDRRN400MD2A3,hscdrrn400md2a3,46.2074,-131.1656,180.0,bottom
U14,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,56.9137,-109.836,90.0,top
U15,HSCDRRN400MD2A3,hscdrrn400md2a3,63.5362,-119.6848,180.0,top
U16,HSCDRRN400MD2A3,hscdrrn400md2a3,46.1192,-119.6848,180.0,top
U17,HSCDRRN400MD2A3,hscdrrn400md2a3,28.8274,-119.6848,180.0,top
U18,HSCDRRN400MD2A3,hscdrrn400md2a3,80.8906,-119.6848,180.0,top
U19,HSCDRRN400MD2A3,hscdrrn400md2a3,29.0274,-71.4432,180.0,bottom
U2,HSCDRRN400MD2A3,hscdrrn400md2a3,81.0906,-153.9748,180.0,bottom
U20,HSCDRRN400MD2A3,hscdrrn400md2a3,81.0906,-71.4432,180.0,bottom
U21,HSCDRRN400MD2A3,hscdrrn400md2a3,63.7362,-71.4432,180.0,bottom
U22,HSCDRRN400MD2A3,hscdrrn400md2a3,46.3192,-71.4432,180.0,bottom
U23,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,56.8783,-82.9524,90.0,top
U24,HSCDRRN400MD2A3,hscdrrn400md2a3,63.5362,-60.8768,180.0,top
U25,HSCDRRN400MD2A3,hscdrrn400md2a3,46.1192,-60.8706,180.0,top
U26,HSCDRRN400MD2A3,hscdrrn400md2a3,28.8274,-60.8768,180.0,top
U27,HSCDRRN400MD2A3,hscdrrn400md2a3,80.8906,-60.8768,180.0,top
U28,HSCDRRN400MD2A3,hscdrrn400md2a3,28.9766,-49.8602,180.0,bottom
U29,HSCDRRN400MD2A3,hscdrrn400md2a3,76.8342,-49.72335,180.0,bottom
U3,HSCDRRN400MD2A3,hscdrrn400md2a3,63.7362,-153.9748,180.0,bottom
U30,HSCDRRN400MD2A3,hscdrrn400md2a3,60.8536,-49.7332,180.0,bottom
