Designator,Mid X,Mid Y,Rotation,Layer
U26,28.8774,-62.69005,180.0,top
U27,80.9406,-62.69005,180.0,top
U28,28.9266,-51.67345,180.0,bottom
U29,76.7842,-51.5366,180.0,bottom
U3,63.6862,-155.78805,180.0,bottom
U30,60.8036,-51.54645,180.0,bottom
U31,44.8366,-51.6066,180.0,bottom
U32,91.4464,-45.5091,180.0,top
U33,60.702,-40.64885,180.0,top
U34,44.7754,-40.64885,180.0,top
U35,28.8496,-40.63665,180.0,top
U36,76.7286,-40.71285,180.0,top
U4,46.2692,-155.78805,180.0,bottom
U5,28.9774,-155.78805,180.0,bottom
U6,80.9406,-144.35805,180.0,top
U7,63.5862,-144.35805,180.0,top
U8,46.1692,-144.35805,180.0,top
U9,28.8774,-144.35805,180.0,top
